Area,ConvexArea,Perimeter,ConvexPerimeter,EquivDiameter,MajorAxisLength,MinorAxisLength,Elongation,Compactness,Eccentricity,Solidity,Extent,Circularity,RadialDistanceSD,SecondMoment,Roughness,MinIntensity,MaxIntensity,MeanIntensity,SDIntensity,MinIntensityBG,MaxIntensityBG,MeanIntensityBG,SDIntensityBG,IntensityDifference,markov1,markov2,markov3,markov4,markov5,gabormean_0_0,gaborSD_0_0,gabormean_0_1,gaborSD_0_1,gabormean_0_2,gaborSD_0_2,gabormean_1_0,gaborSD_1_0,gabormean_1_1,gaborSD_1_1,gabormean_1_2,gaborSD_1_2,gabormean_2_0,gaborSD_2_0,gabormean_2_1,gaborSD_2_1,gabormean_2_2,gaborSD_2_2,gabormean_3_0,gaborSD_3_0,gabormean_3_1,gaborSD_3_1,gabormean_3_2,gaborSD_3_2,Contrast,Correlation,Energy,Homogeneity,Entropy,x_3rdordermoment,Inversevariance,Sumaverage,Variance,Clustertendency,MaxProbability,Malignancy_1,Malignancy_2,Malignancy_3,Malignancy_4
128,149,53.94112550,48.30251455,12.766152970,17.187108270,11.757496580,1.461799981,1.808923389,0.729399373,0.859060403,0.537815126,0.689414405,2.148661008,0.210433960,0.104532690,86,342,203.4688,63.5047,64,974,282.1091,283.8347,78.6403,4510.08,1706.9200,4509.59,4509.57,1706.7900,74.9034,56.5119,81.1092,67.1723,94.9286,72.8523,73.4328,54.1364,76.9034,55.2433,84.4664,55.6734,73.7059,64.6789,59.8866,59.3193,107.8403,77.4968,79.4832,64.5940,84.0084,63.3105,91.3992,66.7628,18700,0.768,0.0027,0.0608,6.02,7990000,0.0123,167,32400,112000,0.0063,3,3,3,2
205,211,56.18376618,53.85926650,16.155931010,18.469668670,14.371873090,1.285126062,1.225343838,0.628098576,0.971563981,0.632716049,0.888061119,1.089796593,0.166162418,0.041373155,30,1086,647.9317,343.9463,4,1180,280.5847,318.9550,367.3470,5850.54,5133.8500,543095.87,534195.71,175.3748,69.5309,49.2381,69.5988,55.1751,100.5432,79.1951,30.8920,52.4592,34.9198,46.8754,30.6914,51.1920,44.4475,45.8674,33.7130,44.3994,100.7562,79.8495,65.3241,55.9833,75.4383,53.2152,57.5401,60.2454,54700,0.816,0.0018,0.0358,6.41,4090000,0.0123,548,140000,510000,0.0030,5,4,3,3
110,111,38.62741700,38.44927141,11.834540550,12.689699020,11.173279390,1.135718403,1.079415840,0.474046236,0.990990991,0.769230769,0.935031668,1.350728574,0.160911345,0.004611895,94,1139,833.4455,288.8021,86,962,486.1212,354.4368,347.3242,5044.71,5037.4300,3442.24,2345.59,1563.5200,99.5594,61.9288,66.9930,59.7166,126.4196,68.6966,71.5035,72.7415,67.7692,68.7804,84.5105,70.3976,39.4196,45.0664,30.3846,51.8743,127.8531,66.3936,45.7483,56.1119,47.5455,50.3385,71.1469,54.4687,70100,0.702,0.0045,0.0383,5.50,15900000,0.0144,709,102000,346000,0.0074,2,3,4,1
150,152,45.69848481,45.01646742,13.819765980,14.185194220,13.604228040,1.042704825,1.107904888,0.283256509,0.986842105,0.714285714,0.930161372,0.365536152,0.159845037,0.014924289,1,2296,804.3357,453.9288,6,1273,373.4667,340.4449,430.8690,4403.20,1971.4000,4405.07,4403.34,1970.9500,72.4905,53.0033,78.5857,63.6511,103.5524,73.8634,71.4667,53.2694,77.3143,57.7278,79.3905,57.7309,70.0333,57.3645,63.4000,52.5363,106.6333,71.8067,45.5048,54.3792,71.3810,57.7863,48.9810,54.5179,177000,0.614,0.0030,0.0254,5.93,53200000,0.0102,712,225000,726000,0.0059,3,2,1,4
278,309,72.66904756,67.56273804,18.813840480,24.991426920,15.663855280,1.595483773,1.511625732,0.779205004,0.899676375,0.665071770,0.765314915,2.335333788,0.194977769,0.070268012,56,988,467.1978,237.9241,46,401,150.3357,62.3157,316.8621,5383.82,5383.9100,2896.19,3983.80,1873.6600,67.6316,51.6098,50.5694,46.3231,97.8110,74.1143,38.1196,47.7319,51.3708,47.1354,40.0048,45.3888,88.1244,60.7762,43.0311,43.0718,92.4737,72.9848,52.9809,47.9414,98.1364,64.9230,52.5933,50.5688,30700,0.763,0.0014,0.0385,6.68,299000,0.0139,340,63600,224000,0.0026,4,4,3,3
72,76,32.97056275,32.02342863,9.574614730,10.655587630,8.832204418,1.206447126,1.201462885,0.559426313,0.947368421,0.720000000,0.882280547,0.692536542,0.163960691,0.028726659,238,1030,671.2639,251.3126,125,634,320.8571,122.8886,350.4067,5254.56,1761.0300,5258.48,5255.44,1760.7100,94.3800,56.1685,89.6700,53.3172,117.3300,63.9939,103.9900,67.8785,107.7200,65.3173,103.5400,59.0785,80.6800,60.6723,79.9400,66.1982,112.6900,62.5540,86.9100,56.3196,81.6000,55.2493,83.1400,49.1797,77100,0.479,0.0066,0.0210,5.11,-3810000,0.0085,502,73300,217000,0.0066,2,3,2,3
216,222,55.69848481,53.67998780,16.583719170,18.217256560,15.213237860,1.197460838,1.142939249,0.550097588,0.972972973,0.750000000,0.941973745,1.078242864,0.162223488,0.036239711,10,1154,755.8241,376.9908,17,740,174.1250,156.5594,581.6991,3777.97,1322.8900,3771.52,3772.03,1321.6900,62.6563,49.2985,37.1250,45.3055,124.9583,81.5820,45.7049,54.9593,50.6667,49.4668,49.9896,59.7297,76.1840,56.4861,59.8819,54.5470,124.8924,78.9041,64.4236,62.5418,91.0729,53.5551,62.8333,67.3616,89500,0.736,0.0021,0.0397,6.27,12300000,0.0161,663,167000,582000,0.0040,4,5,5,3
481,496,83.35533906,80.33594301,24.747287140,25.866334660,23.842507270,1.084883161,1.149507752,0.387765053,0.969758065,0.801666667,0.936559015,0.687840929,0.160455530,0.036223187,134,1287,809.2703,302.7534,80,1351,387.1849,387.2665,422.0854,11556.44,5272.7400,790913.63,906932.35,140.7634,56.3217,38.7465,39.2167,45.9194,150.7183,85.6802,53.5383,46.7450,73.5750,45.7335,41.5700,47.8224,31.1000,44.0993,21.1517,40.5483,154.5683,85.3578,23.6250,37.0522,42.9483,35.2135,25.4200,38.3044,45900,0.809,0.0010,0.0666,7.03,3850000,0.0320,678,119000,430000,0.0030,5,5,3,3
122,126,42.62741700,41.29511807,12.463355260,12.947756490,12.341615350,1.049113598,1.185245568,0.302385790,0.968253968,0.782051282,0.899026038,1.420547980,0.162547746,0.031254508,218,963,726.2377,172.1062,105,974,445.5588,332.1106,280.6789,4771.18,4771.8400,2651.08,3325.11,1783.5400,42.0064,52.3246,29.4808,46.4570,143.6154,66.1902,67.9487,64.4391,62.8397,59.0537,73.8269,66.7197,68.2885,55.0994,58.3462,53.3312,135.7244,65.9324,71.4423,46.7306,94.3333,56.6137,88.9936,55.1522,28500,0.777,0.0040,0.0297,5.62,-6690000,0.0128,579,51500,183000,0.0040,5,3,4,2
372,380,73.69848481,71.76884141,21.763389230,24.446378990,19.803075840,1.234473836,1.161888129,0.586344615,0.978947368,0.815789474,0.907571675,2.844799875,0.165846874,0.026182945,181,1884,989.5672,270.1155,46,1852,558.3333,421.8653,431.2339,21153.41,39686.2000,1157070.14,877616.09,574.8239,60.4123,44.9043,44.2083,39.3291,158.9583,75.9995,48.0110,52.6748,46.6338,46.0042,43.9254,53.1399,29.4627,44.1394,18.4496,39.5050,159.1579,72.7922,30.4539,38.7327,35.6711,37.1934,28.5307,39.7566,50100,0.765,0.0013,0.0416,6.77,8490000,0.0154,886,102000,362000,0.0029,5,4,5,2
159,172,51.69848481,49.20933190,14.228319920,16.272995070,13.199052490,1.232891155,1.337668935,0.584905274,0.924418605,0.623529412,0.825110380,1.162697553,0.171524642,0.048147502,2,1214,655.3087,394.0908,1,804,179.4458,173.2947,475.8629,3212.09,3212.4400,2477.69,1610.61,1371.0500,44.6510,48.3454,31.1765,49.1963,86.4863,79.2047,69.9961,51.6881,57.8275,57.9821,68.1255,48.3618,26.7882,40.0451,19.4314,39.6917,90.0863,79.2901,65.9922,46.0841,66.3490,55.5616,49.9059,47.4539,80300,0.777,0.0029,0.0450,6.08,871000,0.0089,469,169000,600000,0.0203,3,4,3,3
428,463,85.59797975,78.90175673,23.344089730,26.689144230,20.975110280,1.272419733,1.362302007,0.618348287,0.924406048,0.685897436,0.863933446,1.903547957,0.167873686,0.078228751,78,990,431.0444,239.0907,68,351,147.6224,59.6986,283.4219,5653.00,1356.3700,5648.74,5648.06,1355.6800,38.2276,36.4058,29.2933,39.2287,85.4776,70.4848,70.2740,49.9483,72.4615,48.6282,54.1763,41.9665,59.4343,44.4006,36.2596,43.1314,85.9183,71.5081,49.6715,44.5841,90.8862,53.3730,46.9423,37.4486,19500,0.838,0.0009,0.0490,7.10,536000,0.0178,294,59600,219000,0.0022,5,5,5,4
242,254,61.84062043,59.73955950,17.553460340,19.935387780,16.117247320,1.236897802,1.257541848,0.588531576,0.952755906,0.605000000,0.852120862,1.218158506,0.169038915,0.033975418,256,1479,935.2686,228.1004,174,1405,724.2722,410.6768,210.9964,25373.20,19254.9700,856000.85,1051320.82,174.5420,43.0300,38.0407,43.5400,41.8820,129.5875,85.1535,39.4850,54.1874,46.1600,60.4920,39.0925,49.6994,66.4375,50.1844,61.7125,59.0191,126.9600,86.2271,75.5050,56.3996,58.3150,53.6680,92.6375,64.8494,31500,0.866,0.0015,0.0604,6.61,-4580000,0.0289,704,96000,358000,0.0034,5,5,4,2
753,773,107.39696960,102.76248260,30.963678350,36.433002240,26.660278410,1.366564958,1.218931258,0.681560492,0.974126779,0.747023810,0.896057058,4.197214664,0.168946500,0.043152866,-879,86,-167.3293,287.9419,-902,191,-696.6078,271.5641,529.2785,13517.59,8189.2800,22497.74,21999.42,2833.5700,40.9752,44.5693,41.5942,53.0660,64.2252,78.8732,44.6716,50.0962,34.3274,41.3698,45.8105,49.1459,25.6409,31.2043,19.3373,28.3724,65.9236,79.3968,53.6409,56.3893,42.1994,48.2083,54.4077,54.3655,30000,0.889,0.0006,0.0838,7.53,-2490000,0.0390,625,127000,480000,0.0025,2,5,3,5
458,478,81.59797975,78.86478910,24.148368710,26.104243730,22.527775780,1.158758148,1.156867101,0.505216127,0.958158996,0.765886288,0.925356435,1.896241209,0.161881217,0.033495813,65,1344,895.8035,333.8009,21,981,262.0216,170.9141,633.7819,32320.95,128629.6100,654592.98,684469.76,884.3205,37.3428,41.8952,36.8110,39.6069,156.3612,86.6169,29.6221,39.3502,40.9515,42.9214,28.8244,37.7240,34.2977,41.4087,20.3779,36.5819,157.0435,86.9096,82.6054,59.8640,55.0017,45.2993,60.2826,55.8466,93300,0.691,0.0010,0.0426,7.05,9670000,0.0161,793,153000,518000,0.0025,5,3,5,3
97,100,37.79898987,36.49863343,11.113245960,11.274555540,11.160125760,1.010253449,1.172138119,0.142111771,0.970000000,0.734848485,0.915015372,0.539323549,0.160436432,0.034401883,25,1125,542.8969,354.4133,135,694,339.8857,139.6133,203.0112,3946.22,2174.4800,393272.49,380017.24,119.5766,66.2576,59.1101,51.9848,60.3081,101.2121,70.2832,62.0530,56.4512,81.2197,44.5002,58.3333,58.6642,58.5379,52.8371,65.6136,63.4357,94.7500,69.3572,93.4697,55.3369,86.1818,62.8450,90.7879,58.0329,68200,0.728,0.0049,0.0265,5.42,3140000,0.0103,495,111000,383000,0.0062,3,2,3,2
228,238,59.69848481,57.88537433,17.038151780,21.503448820,13.835765420,1.554192932,1.243889799,0.765512719,0.957983193,0.723809524,0.855080532,3.989335543,0.178497821,0.030371131,101,1293,832.4167,378.4545,96,1225,393.1149,326.3366,439.3017,35897.81,11529.6200,597694.72,844314.79,344.5051,69.5968,59.0852,47.5429,54.2467,125.0032,75.5762,40.2222,50.7499,45.4635,50.2572,43.1587,52.6818,68.7619,55.8902,48.0444,52.9963,127.5143,78.2056,57.3365,56.3094,41.8794,44.4146,71.8698,64.4994,101000,0.687,0.0019,0.0441,6.37,6370000,0.0189,666,160000,540000,0.0044,4,4,3,2
127,131,43.21320344,42.04626231,12.716187410,14.316317290,11.446327990,1.250734498,1.170090193,0.600625893,0.969465649,0.769696970,0.902731910,1.863746976,0.164029871,0.027004273,81,1186,781.7874,308.9650,42,992,471.4211,325.3665,310.3663,14975.43,7460.7600,744206.08,651143.53,861.0023,73.3818,54.0022,59.7091,51.5461,118.9697,68.1937,73.5091,53.6677,70.5455,51.1732,83.4970,63.3519,57.2242,48.5505,51.7636,49.5783,118.4848,69.4014,65.3879,53.5343,65.2485,54.0330,82.5636,57.8305,74900,0.658,0.0038,0.0276,5.68,12200000,0.0111,713,105000,349000,0.0045,1,3,3,2
184,195,52.87005769,51.05200914,15.306079710,16.353243470,14.768180430,1.107329609,1.208904186,0.429486083,0.943589744,0.721568627,0.887160119,1.240342145,0.164015305,0.034387111,98,452,267.7554,76.7727,64,405,162.4930,55.5101,105.2625,1507.99,672.9124,81378.91,77062.42,45.0966,50.2471,48.5446,38.0784,45.9587,123.5098,69.1126,60.7020,50.5386,92.1529,51.1458,62.3725,51.8971,45.9412,49.4701,40.8235,51.1129,120.8863,68.8288,67.7490,52.0582,65.2471,52.2586,81.7529,59.4102,4080,0.730,0.0024,0.0633,6.15,164000,0.0287,185,7310,25200,0.0042,4,3,3,2
58,60,29.79898987,29.04167727,8.593479714,10.492883230,7.267282354,1.443852422,1.218330811,0.721329975,0.966666667,0.644444444,0.864160612,0.975469082,0.172680307,0.025414036,122,985,524.2414,256.0991,98,482,203.6563,82.8612,320.5851,5601.36,5600.4500,2430.89,3294.73,1457.8200,73.9889,61.9691,117.3667,64.7790,113.8444,68.1057,53.4000,56.0804,63.1000,59.0715,68.7000,54.3620,97.5889,69.1453,84.5778,59.4956,107.0222,68.0940,97.7556,59.2717,120.4333,61.4060,87.0444,62.7003,64500,0.560,0.0076,0.0217,4.98,852000,0.0033,347,69000,215000,0.0087,2,2,3,3
162,167,48.28427125,46.82641337,14.361922090,14.832472070,14.053859130,1.055402074,1.145213565,0.319737418,0.970059880,0.720000000,0.928417011,0.587641072,0.160048811,0.030193225,-938,141,-242.4437,306.8751,-974,-407,-808.0317,130.5942,565.5880,10502.66,20288.9600,9866.71,13146.08,3580.1800,60.0756,58.8294,58.6711,62.8019,63.9778,66.4609,67.2756,61.8867,56.2444,57.0199,69.1778,61.1308,70.4800,70.0141,41.6800,56.1946,58.4533,70.3434,91.0667,77.3376,50.5911,59.0641,72.1422,69.7383,86100,0.665,0.0027,0.0348,6.01,11000000,0.0104,640,128000,428000,0.0043,5,2,3,3
567,581,90.52691193,87.76416582,26.868695950,28.396998980,25.717048260,1.104209110,1.150171200,0.424078218,0.975903614,0.840000000,0.925035637,1.808553777,0.161495751,0.030518506,266,1221,1059.3700,212.6080,191,1119,677.9167,296.6041,381.4537,6640.32,6637.0900,11762.50,9506.04,1330.0200,33.2133,37.9266,23.8148,37.7126,179.4652,76.7632,39.5719,46.4850,42.1985,30.9472,41.4593,48.2558,25.9422,31.6200,17.0800,29.2860,179.1156,77.6586,42.7363,47.3202,41.8770,38.8303,50.8163,51.2060,24100,0.807,0.0009,0.0886,7.11,-1770000,0.0449,837,59900,216000,0.0029,5,4,5,3
104,110,42.62741700,41.63222861,11.507254780,17.181475060,7.938873447,2.164220802,1.390384224,0.886848633,0.945454545,0.650000000,0.754021768,3.697869411,0.213679165,0.023346204,26,1137,507.3558,325.4624,66,1999,674.0893,625.3843,166.7335,6006.55,1671.1700,6005.59,6005.67,1670.9400,73.1312,58.9898,91.1875,66.8854,114.8313,71.2168,65.3000,52.7233,72.4000,51.0208,56.1688,58.2414,93.6125,69.7323,98.0125,80.3888,99.9063,70.7059,94.2188,65.9914,83.9500,54.2714,72.5750,55.7191,91000,0.824,0.0040,0.0273,5.64,3570000,0.0071,548,179000,653000,0.0044,3,3,3,3
89,97,41.21320344,38.49132588,10.645107770,13.111728280,9.612126714,1.364081922,1.518703085,0.680127547,0.917525773,0.577922078,0.754873411,2.320457694,0.183738576,0.066043824,205,1081,641.0337,312.6264,178,793,309.5538,145.7934,331.4799,6143.07,6140.5200,4483.72,3930.25,2882.2500,85.3766,55.0371,72.2922,63.6207,97.9740,70.8003,54.6429,64.2926,57.0065,65.7470,55.9610,59.6355,94.7532,55.5640,85.5000,66.2815,101.4221,69.5978,90.8896,58.4908,105.1169,62.6143,83.5779,61.3422,78000,0.611,0.0041,0.0334,5.60,5280000,0.0111,369,98100,315000,0.0050,3,3,4,2
705,911,142.81118320,116.08755450,29.960538700,35.547760470,32.837757620,1.082527037,2.302106725,0.382961133,0.773874863,0.595439189,0.657396907,4.032986677,0.207384303,0.187125603,236,1114,851.9830,216.6687,182,1368,608.4363,270.4525,243.5467,5520.94,2635.9500,5519.91,5518.77,2635.0300,32.8395,32.2042,26.1427,33.5487,114.7644,87.7024,44.3514,47.2040,49.7035,47.5332,43.6343,45.3124,32.4392,39.4320,26.1740,38.6037,115.5608,89.9224,56.1875,53.6681,55.3725,42.2293,47.0836,47.1460,14100,0.904,0.0005,0.0548,7.76,526000,0.0219,580,70100,267000,0.0012,3,5,5,2
67,69,31.31370850,30.60112616,9.236181543,10.098879270,8.650401666,1.167446283,1.164620263,0.516030083,0.971014493,0.827160494,0.899103831,0.667965867,0.162453493,0.022756242,128,1075,568.1791,331.3874,145,599,292.0000,144.7295,276.1791,4726.76,3130.1300,404277.98,411240.22,495.8724,90.8272,67.1859,76.6049,61.4572,109.8148,63.6826,80.9136,64.4068,68.5679,60.0839,97.6420,67.0017,70.4938,60.1426,67.5679,68.0678,111.0123,64.2387,82.9259,64.6709,116.7037,54.9005,78.1605,65.9218,107000,0.526,0.0085,0.0218,4.87,5610000,0.0087,447,106000,322000,0.0085,2,3,3,2
116,123,44.87005769,42.78132784,12.153015560,16.348980960,9.714746476,1.682903512,1.381164485,0.804309102,0.943089431,0.725000000,0.796451498,3.017115884,0.193426083,0.046550639,213,1192,733.7155,285.0893,195,736,304.2273,123.4577,429.4882,4640.22,6259.9300,550789.39,554670.00,453.6026,66.2625,46.3711,75.9313,49.4136,124.6063,67.7563,56.3813,51.1994,60.6313,53.7417,58.1437,46.6286,97.0000,73.1941,87.2687,55.3007,122.5313,63.9206,109.1250,65.6189,90.8063,59.3585,92.2375,58.0822,87800,0.565,0.0040,0.0275,5.64,6960000,0.0102,465,98500,308000,0.0044,2,3,4,4
459,483,88.12489168,81.65160240,24.174717190,28.149857220,21.233706160,1.325715681,1.346401674,0.656518927,0.950310559,0.633103448,0.865153413,3.022665325,0.168929476,0.073455855,25,648,282.1068,102.8602,32,2336,352.6729,503.8814,70.5662,6698.88,6694.7100,3377.99,3722.84,1736.9600,83.5034,59.9008,70.5517,58.6149,106.8345,78.6327,53.2455,47.3350,62.6897,51.2092,56.9917,49.2424,46.6179,37.8756,28.2910,34.1892,109.3324,78.8561,58.9338,45.1908,61.0717,47.3735,70.3766,50.0567,52600,0.695,0.0008,0.0400,7.26,-2820000,0.0145,275,79800,268000,0.0017,4,4,3,4
184,199,59.69848481,52.55081570,15.306079710,18.661879040,13.150994970,1.419046930,1.541341707,0.709507058,0.924623116,0.691729323,0.837276234,1.596184043,0.176137137,0.119729490,-763,51,-316.6393,214.6057,-861,-453,-736.7439,94.4355,420.1046,13006.61,6635.8400,23956.19,20035.77,3309.7100,36.3496,59.4026,33.5526,59.5283,31.7105,60.2772,28.8872,55.8038,30.0075,56.4925,28.9925,55.5540,34.8383,59.1184,34.3271,56.8059,29.4812,57.6262,50.6504,70.6181,52.5940,72.9937,42.4361,65.7258,39600,0.721,0.0023,0.0320,6.20,1880000,0.0121,454,70700,244000,0.0030,4,4,3,4
206,211,55.45584412,53.92798008,16.195287780,17.792804600,15.316364410,1.161685902,1.188003052,0.508913127,0.976303318,0.757352941,0.890120446,1.325744850,0.166416337,0.027551002,47,1187,691.5874,421.4386,61,1141,315.7273,311.2145,375.8601,22181.54,91013.0700,551944.36,549984.22,388.5919,74.9412,65.7109,47.4191,49.6630,113.4816,77.2000,43.9228,51.7872,53.3346,56.8012,46.8272,47.2645,58.7831,49.6256,36.3603,55.6850,112.9375,77.5271,61.8897,56.2180,84.0037,51.9912,65.4963,59.4091,107000,0.701,0.0022,0.0469,6.21,845000,0.0221,619,179000,608000,0.0046,4,5,4,2
