Area,ConvexArea,Perimeter,ConvexPerimeter,EquivDiameter,MajorAxisLength,MinorAxisLength,Elongation,Compactness,Eccentricity,Solidity,Extent,Circularity,RadialDistanceSD,SecondMoment,Roughness,MinIntensity,MaxIntensity,MeanIntensity,SDIntensity,MinIntensityBG,MaxIntensityBG,MeanIntensityBG,SDIntensityBG,IntensityDifference,markov1,markov2,markov3,markov4,markov5,gabormean_0_0,gaborSD_0_0,gabormean_0_1,gaborSD_0_1,gabormean_0_2,gaborSD_0_2,gabormean_1_0,gaborSD_1_0,gabormean_1_1,gaborSD_1_1,gabormean_1_2,gaborSD_1_2,gabormean_2_0,gaborSD_2_0,gabormean_2_1,gaborSD_2_1,gabormean_2_2,gaborSD_2_2,gabormean_3_0,gaborSD_3_0,gabormean_3_1,gaborSD_3_1,gabormean_3_2,gaborSD_3_2,Contrast,Correlation,Energy,Homogeneity,Entropy,x_3rdordermoment,Inversevariance,Sumaverage,Variance,Clustertendency,MaxProbability,Malignancy_1,Malignancy_2,Malignancy_3,Malignancy_4
73,74,31.55634919,31.3782036,9.64087583,10.64808309,8.817489413,1.207609399,1.08552738,0.560606512,0.986486486,0.811111111,0.93170102,0.545570423,0.161355416,0.005645317,129,957,490.1507,269.2566,120,514,251.5294,120.2477,238.6213,1979.38,2052.68,290825.36,296543.23,117.7198,65.6667,51.3363,46.6556,56.3038,115.4444,66.0286,55.0444,67.6265,70.4667,63.7397,62.9556,66.0782,76.8667,51.4959,61.7778,58.87,110.5667,64.2717,96.5444,60.5377,99.8556,51.5559,95.7111,70.2361,64100,0.585,0.0075,0.0237,4.98,3530000,0.0063,368,71300,226000,0.0085,2,3,3,2
201,219,57.69848481,54.92964237,15.9975357,18.77828363,14.48212164,1.296652804,1.318022717,0.636572976,0.917808219,0.661184211,0.837128983,2.56391404,0.174032686,0.047988131,177,1172,823.0249,300.3093,153,1023,305.7573,181.8104,517.2676,5897.47,4059.4,694397,696877.63,115.3035,33.2401,45.5418,27.1579,46.8062,116.2763,80.9312,37.3651,40.2154,48.0789,41.0686,39.6875,42.1176,27.9309,33.971,29.3783,38.5949,116.8289,78.3265,70.6316,56.1446,89.5822,54.731,61.5855,56.3118,45100,0.836,0.002,0.0448,6.34,868000,0.0195,530,128000,469000,0.0035,4,4,3,2
449,482,87.254834,80.6979822,23.90992588,27.52813165,21.20947206,1.297916873,1.349344329,0.637481857,0.93153527,0.723027375,0.866424758,2.049471202,0.167730104,0.075146001,220,1095,906.0423,223.6883,181,994,342.4477,159.7148,563.5946,14917.02,21487.94,860777.18,754706.22,100.524,42.5556,45.3349,28.2367,40.2971,152.4058,86.2421,58.9823,48.8467,57.2963,36.7382,58.0435,43.4478,43.2528,42.4297,41.7343,41.2627,152.0016,85.9171,72.7037,58.4852,67.8712,42.5392,66.9533,56.3117,41100,0.791,0.001,0.0887,7.02,1790000,0.0494,605,99100,356000,0.0032,4,3,5,2
709,853,135.2964646,106.7185802,30.04541291,35.24882486,27.25919579,1.293098488,2.054550389,0.633996031,0.831184056,0.672675522,0.782304849,2.338653198,0.174795199,0.211224177,83,1115,757.8082,292.2702,90,1113,387.2406,289.1021,370.5676,7803.91,44954.38,597880.35,632328.32,150.6161,52.3188,42.4221,41.6015,47.7622,120.7476,91.2293,25.575,29.9883,36.1025,30.8176,29.2552,33.8479,34.4374,32.8466,22.2552,29.4186,120.8472,88.9913,44.3539,46.8621,62.1433,44.014,38.2979,44.3726,29900,0.872,0.0006,0.0455,7.65,3450000,0.0165,570,113000,422000,0.0013,5,5,3,4
278,294,66.04163056,62.94144165,18.81384048,21.85127934,16.47209039,1.326563832,1.24847806,0.657072627,0.945578231,0.772222222,0.881822728,1.226239043,0.16774764,0.046942949,177,1042,715.1223,288.8719,144,922,317.7561,172.8408,397.3662,6398.4,3220.01,654221.27,687785,28.5149,38.7639,32.6801,34.5667,43.7501,129.4861,76.8217,32.7361,45.9552,44.7,44.3415,32.3944,47.3448,45.1028,47.8769,36.5778,47.1359,130.7583,78.2492,48.5583,45.4445,88.6278,49.3275,67.85,59.0906,37200,0.805,0.0017,0.0486,6.51,-2400000,0.0205,521,93200,337000,0.0042,3,4,5,3
130,133,43.21320344,42.57863879,12.86550197,14.02977762,12.1938604,1.150560786,1.143088112,0.494563693,0.977443609,0.773809524,0.901093112,2.063760073,0.164835685,0.014684508,143,928,488.7,246.6087,145,394,200.4737,55.4772,288.2263,1304.58,2098.25,304853.61,326236.22,38.4694,94.9464,57.4179,61.6429,49.729,107.9345,67.3894,77.1012,61.9426,65.4881,53.8929,86.8393,53.9461,49.4881,41.2017,39.8571,50.3247,112.7857,68.4801,86.6012,67.7907,114.9583,57.8704,87.3155,63.7723,44600,0.662,0.0038,0.0306,5.69,282000,0.0081,321,64100,212000,0.0058,2,3,3,3
111,118,40.627417,39.55854349,11.88821221,12.55219295,11.63703654,1.078641706,1.183329198,0.374834083,0.940677966,0.711538462,0.891358186,0.713165736,0.163463683,0.026309167,162,758,395.009,179.1282,138,408,229.4,59.9096,165.609,1059.25,1648.57,176860.2,189371.03,37.0139,81.4103,58.2004,85.3269,69.8874,107.2949,67.4489,85.3269,61.8259,67.3782,52.6404,85.5128,56.7953,106.5192,59.2279,56.3333,49.7694,109.5705,67.4516,108.391,64.1972,85.7821,55.1876,89.6154,56.5217,23800,0.627,0.0041,0.0425,5.61,500000,0.0183,235,31100,101000,0.0054,2,3,3,3
483,580,102.8111832,92.27395384,24.79868343,32.98233813,20.57828325,1.602774037,1.741500965,0.781489601,0.832758621,0.511111111,0.712850953,4.59974509,0.195216577,0.102491081,172,1058,619.9855,262.0113,136,674,242.6623,92.3503,377.3232,3170.92,2863.13,388679.22,380663.29,44.7593,38.9968,40.7491,29.364,39.9184,79.9503,80.3117,31.5884,43.5394,28.3735,38.4278,33.0032,42.5378,37.018,35.4356,25.7386,34.5873,80.4487,78.3727,48.8021,47.2783,55.9894,52.1544,53.0201,55.0455,22600,0.855,0.0006,0.0603,7.51,-208000,0.0254,317,77200,286000,0.0019,5,5,4,4
213,216,54.87005769,54.45836889,16.46815178,18.96052388,14.51506683,1.306265008,1.124815691,0.643386585,0.986111111,0.788888889,0.902527011,1.386972557,0.166526398,0.007502977,124,1142,659.9812,326.384,149,682,291.6667,146.8831,368.3146,2736.42,4064.64,586320.05,600108.44,39.1413,31.0259,38.6189,23.0519,42.0387,117.8667,74.1912,34.263,57.2642,45.8333,53.0592,36.7222,56.9409,93.6,56.3599,49.9444,49.158,115.0704,74.3288,64.6222,56.7177,100.1519,50.5496,82.4407,71.8778,47900,0.787,0.0022,0.0375,6.21,4440000,0.0139,502,109000,389000,0.0035,4,4,3,1
765,826,116.2253967,105.1845789,31.20942569,32.27930514,31.25593346,1.032741677,1.405176168,0.249804267,0.926150121,0.642857143,0.868894712,1.546336661,0.164723877,0.094994882,83,1209,823.3516,337.2327,64,650,202.9741,90.059,620.3775,9283.81,83259.74,687553.1,629823.61,106.3076,65.4218,49.4241,51.2672,48.4128,119.7647,96.2251,28.6311,31.734,37.7992,34.0316,33.0319,32.6939,41.4748,46.4478,24.4672,33.6032,120.6983,97.2466,46.4034,43.253,82.3958,53.3616,38.4992,38.2887,40700,0.875,0.0005,0.0546,7.76,-646000,0.0237,569,163000,613000,0.0011,5,5,5,3
56,57,28.14213562,27.91925977,8.444016491,10.04778034,7.208951447,1.393792206,1.125424104,0.69659243,0.98245614,0.8,0.902796968,1.396919217,0.167701121,0.007919649,147,1061,515.5893,324.9955,149,569,253.3571,137.6426,262.2321,6279.52,2210.51,297033.28,309721.38,477.0647,103.6,67.1398,105.0571,61.8057,111.7143,66.7537,50.7857,64.8659,75.7571,59.1389,55.8429,65.1379,85.1571,53.747,82.1714,73.9924,105.7286,64.4185,99.2714,65.1012,77.4857,44.8682,79.0714,63.9224,103000,0.557,0.0101,0.0252,4.68,2480000,0.0073,356,101000,315000,0.0101,3,3,3,2
140,143,44.28427125,43.52846354,13.35116236,13.64689335,13.2380246,1.030885934,1.114707966,0.242947548,0.979020979,0.714285714,0.928519917,0.42988895,0.16018586,0.017067182,144,3044,1177.39,994.512,116,667,216.9107,101.1487,960.4821,12855.47,15306.08,2472545.22,2400648.2,534.3778,84.8316,59.0482,64.0816,54.338,82.4694,70.0008,52.4796,51.8432,79.1071,55.4102,58.4031,54.6808,82.7347,60.8088,47.0051,54.0222,86.5816,71.0944,79.6224,55.0517,100.0765,59.7794,88.3061,62.1562,689000,0.654,0.0032,0.0262,5.87,-115000000,0.0091,922,971000,3200000,0.0044,3,1,1,1
121,121,41.11269837,40.93455279,12.41217084,12.75616763,12.36625986,1.031529967,1.111620967,0.245353085,1,0.664835165,0.907434181,0.70568277,0.161661947,0.004333104,123,1081,624.2975,367.7221,113,545,182.9016,76.845,441.3959,3466.8,3699.58,479123.24,468632.5,258.9699,76.6154,58.1483,58.5385,47.4248,97.9945,72.0912,45.8736,59.7142,54.522,56.4273,50.1978,57.9775,77.8681,64.8425,47.2912,47.0338,99.033,72.5773,101.7143,63.8019,98.0275,60.5261,96.1209,58.2838,98800,0.655,0.0034,0.0452,5.78,5410000,0.0214,419,141000,465000,0.0052,3,3,3,2
74,77,32.97056275,32.24937332,9.70668462,10.76143732,8.990896483,1.196925951,1.168990915,0.549530627,0.961038961,0.74,0.894126619,0.652559355,0.163832843,0.021873737,261,957,594.5541,211.5367,237,545,376.6538,97.0146,217.9002,3761.21,5514.47,340006.42,382493.35,290.6093,79.23,62.6871,74.62,65.371,110.46,62.7931,68.93,66.3438,68.31,63.1901,71.84,67.146,105.19,62.4258,83.19,68.3545,107.38,61.8081,102.84,56.7676,105.38,69.6941,138.72,57.3376,43800,0.533,0.0067,0.0288,5.11,2930000,0.0099,339,45100,138000,0.0085,2,3,3,2
186,193,52.87005769,50.86267713,15.3890401,17.47301487,13.8386815,1.262621361,1.195905216,0.6105171,0.96373057,0.729411765,0.903492138,1.512832419,0.166044586,0.037968193,266,1026,626.5968,238.4304,239,613,339.3478,79.479,287.2489,5022.67,3926.69,496921.13,405094.57,113.7761,61.3216,52.8544,71.6196,53.795,114.0353,72.0773,59.2784,48.1114,57.902,45.3022,70.0471,49.1625,59.9843,43.0828,57.2157,51.8079,110.3412,69.3115,73.0902,53.1219,67.898,49.4877,87.2902,63.7618,28500,0.772,0.0024,0.0402,6.15,1900000,0.016,342,60700,215000,0.0041,4,5,3,3
54,56,27.55634919,27.02191243,8.291859587,9.065877501,7.724987664,1.17357825,1.11902486,0.523387372,0.964285714,0.75,0.929333215,0.398981562,0.161109841,0.019394324,295,2026,859.3519,465.6472,263,1128,552.8889,302.5517,306.463,17241.96,14868.81,716332.18,729926.83,1383.82,93.8194,62.6523,80.7222,58.068,106.6667,64.1969,72.9306,64.605,54.7083,64.1309,64.3194,55.7294,93.3194,69.4732,74.7222,59.8983,106.7083,62.6873,94.0417,61.7702,88.3611,71.8246,95.6806,60.7518,183000,0.61,0.0098,0.0208,4.72,61500000,0.0111,555,199000,641000,0.0109,2,1,1,1
95,101,40.38477631,38.94833736,10.99807968,14.90007899,8.549061098,1.74289069,1.366161034,0.819023868,0.940594059,0.659722222,0.786965372,1.281956699,0.192389561,0.035568823,308,1578,787.9684,318.8078,412,1674,969.2245,357.8399,181.2561,27376.91,16094.83,744833.66,888051.99,933.0478,100.0694,59.0788,68.6042,66.3392,117.7778,68.7931,67.5417,64.2549,77.7361,63.9204,57.75,63.3644,59.5347,45.7518,59.5069,59.0188,121.1597,66.6536,112.1111,57.0214,93.7986,60.2357,99.6806,63.769,72500,0.709,0.0045,0.0287,5.52,4560000,0.0086,562,105000,360000,0.0066,1,1,1,1
450,515,95.74011537,85.2167176,23.93653682,26.11769605,23.88434515,1.093506893,1.620934684,0.404610814,0.873786408,0.698757764,0.778704661,5.075754725,0.173601295,0.109916285,140,1284,827.1244,286.2504,83,843,241.9845,141.2227,585.1399,7186.27,4075.52,726737.77,712857.91,184.9138,61.6102,41.432,51.9022,50.209,127.7966,86.817,49.7127,49.4048,63.4022,48.1599,47.7935,50.0205,49.4099,49.1278,26.5792,36.3269,130.236,85.9334,53.087,48.7204,65.8882,49.5666,58.2686,54.17,46700,0.824,0.0009,0.0417,7.14,2050000,0.0158,602,133000,485000,0.0019,4,5,3,3
82,85,34.14213562,33.38482302,10.21790794,11.01080475,9.609443146,1.145831718,1.131247546,0.488205858,0.964705882,0.82,0.92453969,0.388928709,0.160756518,0.022181173,182,1043,726.2561,295.4194,173,975,459.1111,300.4185,267.145,11065.7,6940.81,594738.82,589015.59,508.2615,67.66,47.1379,85.18,59.6245,117.79,63.542,106.92,71.09,71.82,59.2714,85.94,69.9636,79.3,64.3646,44.76,55.8895,120.75,60.6732,88.65,58.1856,59.63,58.979,112.5,65.9522,72400,0.635,0.0067,0.0422,5.1,23200000,0.0195,549,87800,287000,0.0096,2,3,4,2
199,208,54.87005769,53.51814858,15.917747,18.29180448,14.34061656,1.275524271,1.203948453,0.620771743,0.956730769,0.748120301,0.873093547,2.883534237,0.168836912,0.024638376,68,3036,1341.98,923.1855,85,1979,544.5821,442.8814,797.3978,16923.19,21166.96,2819834.4,3075514.78,356.8507,53.6466,59.2526,57.6353,60.411,95.4211,71.8689,59.3947,55.687,56.5902,55.2095,64.7669,65.1151,82.8083,57.6492,43.8383,50.0062,93.2368,71.9462,53.9399,56.6695,75.2331,46.9467,61.0977,64.2058,439000,0.739,0.0023,0.017,6.2,-101000000,0.0066,1190,821000,2850000,0.0027,3,1,1,1
226,231,57.11269837,55.90666377,16.96325845,18.75951855,15.60760438,1.201947339,1.148542462,0.554800816,0.978354978,0.743421053,0.908638533,2.482403765,0.163951931,0.02111675,115,1202,770.4027,369.8306,102,888,293.141,213.0577,477.2616,4690.46,6646.79,746692.74,691157.3,85.4977,44.9901,49.8133,38.0197,50.3628,120.0493,79.3352,48.0066,59.803,54.2105,48.4121,55.1053,54.9332,44.3289,36.5502,33.7566,41.9528,120.1184,78.9276,62.7237,59.5859,75.9737,52.8048,69.023,65.7991,62400,0.802,0.002,0.0386,6.34,3570000,0.014,595,152000,548000,0.0029,4,3,3,2
109,114,41.55634919,39.71867356,11.78062436,12.43593167,11.53666549,1.077948535,1.26077739,0.373356182,0.956140351,0.825757576,0.868254193,0.728212499,0.163463521,0.044221296,186,1073,688.8991,269.1882,215,778,399.7826,174.5183,289.1165,2728.47,6395.24,564675.55,530656.9,229.9948,58.8939,54.8075,41.0909,46.2825,121.7197,62.8815,97.6288,68.7163,68.6667,60.1796,99.7424,67.1112,61.3409,57.4262,61.5909,62.2773,122.7273,64.0976,90.3636,63.1691,90.6818,57.2972,87.7955,61.8399,53400,0.669,0.0049,0.0283,5.42,9790000,0.0083,497,73500,245000,0.0061,3,3,4,2
97,104,39.21320344,37.26849674,11.11324596,11.77360739,10.85705288,1.084420194,1.261487776,0.386828276,0.932692308,0.673611111,0.877602491,0.595528548,0.163548171,0.049593161,110,733,414.5773,170.0214,76,551,193.7021,93.4612,220.8752,2508.3,2914.38,204021.66,197720.62,218.1755,109.5,52.447,101.0417,69.6019,106.5556,67.4787,103.0625,59.5083,77.7083,59.0434,105.0208,59.6361,88.4722,58.2756,79.3889,60.5528,108.3056,68.6739,102.2083,65.9006,96.8611,55.945,106.4514,72.2026,29800,0.557,0.0045,0.0339,5.52,1650000,0.0132,298,33100,103000,0.0062,4,4,3,2
96,96,35.79898987,35.79898987,11.05581278,11.81148892,10.45505495,1.129739536,1.062332451,0.465287183,1,0.79338843,0.941324911,0.418349651,0.160255715,7.77E-16,82,2649,1060.88,703.652,93,844,436.36,204.179,624.515,8604.09,6370.66,1711622.82,1568169.02,453.4517,110.3223,60.1572,59.3223,61.539,99.2479,66.8962,45.2397,62.6449,66.0661,51.5507,59.5537,58.9562,87.4876,53.6201,36.7603,50.6141,102.0165,67.7294,74.4463,61.2834,100.7107,58.5456,94.3884,69.223,411000,0.601,0.0054,0.0109,5.33,26100000,0.0021,962,492000,1570000,0.0062,3,1,1,1
119,130,45.79898987,43.15388891,12.30916349,16.5115176,9.689735981,1.704021413,1.402668272,0.809697782,0.915384615,0.661111111,0.803002592,1.732391973,0.191100068,0.05775457,143,1134,592.521,321.0752,143,540,266.2787,90.9614,326.2423,2984.13,2355.06,411343.85,403595.01,102.7955,61.5944,55.1992,56.4222,65.7517,97.25,69.4788,74.7778,54.8611,77.9111,58.3769,80.7722,59.4266,63.0611,47.4259,76.0222,70.0267,99.5167,70.4028,102.0389,54.7623,107.6111,55.8512,87.7556,46.4637,64200,0.689,0.0035,0.0428,5.76,3340000,0.0161,377,98800,333000,0.0058,2,3,4,2
179,191,53.11269837,50.07737609,15.09668435,16.44549048,14.17420169,1.160241038,1.254104821,0.507095502,0.937172775,0.69921875,0.896973815,0.735592458,0.163650658,0.057148712,126,1087,733.095,279.5065,93,997,344.3636,238.1853,388.7313,5011.62,7451.52,623197.61,609707.85,312.0012,46.8242,40.6348,42.0977,42.0917,123.4492,76.4736,60.0781,51.4728,50.8008,49.5617,71.5117,60.9047,80.6875,46.5127,70.8867,55.4709,121.1367,76.5962,56.1836,50.5403,66.2305,47.5759,52.5664,51.8325,56300,0.727,0.0024,0.0308,6.16,6850000,0.0125,559,98900,342000,0.0036,4,3,4,3
79,81,34.38477631,33.55367339,10.02925341,12.23552204,8.387153417,1.458840853,1.190955273,0.728095476,0.975308642,0.731481481,0.881773027,1.836192713,0.171982338,0.024170665,192,1056,549.5823,267.5714,195,684,276.7931,123.7686,272.7892,3259.47,3522.42,322635.62,310043.09,130.1726,59.6296,49.1189,56.0093,55.7944,111.0185,66.7593,52.4907,57.9424,51.6667,57.3285,57.787,58.4848,68.3056,55.0314,72.8148,57.6675,105.2222,66.855,93.2037,53.8171,121.4722,63.0639,82.287,56.7872,46500,0.71,0.0061,0.0344,5.2,2160000,0.0198,313,69800,239000,0.0063,2,3,2,2
103,105,37.79898987,37.29511807,11.45179781,12.40848222,10.70761714,1.158846274,1.103858229,0.505328214,0.980952381,0.78030303,0.93055729,0.814935332,0.161381571,0.013330298,200,943,527.1748,254.2793,198,431,272.7586,70.1339,254.4161,2412.36,2741.89,340849.29,349173.75,129.0057,93.0303,58.0268,76.9091,65.3509,108.553,66.0768,63.9394,57.0861,74.6818,61.89,77.5909,58.9999,79.1667,54.3575,60.2121,56.6451,108.0606,65.0551,65.4015,56.1543,86.8182,51.5635,82.4773,57.686,53300,0.604,0.0049,0.0382,5.42,-279000,0.0151,313,65000,208000,0.0071,3,3,3,2
367,475,106.3259018,85.33748068,21.6166351,26.2550108,22.05404346,1.19048513,2.451332491,0.542596164,0.772631579,0.538123167,0.633280759,3.895534831,0.199768351,0.197397067,158,1038,640.9918,263.4684,117,895,252.8444,111.7872,388.1474,3786.73,6680.08,389532.78,422591.08,98.0918,45.5191,48.558,45.173,56.9976,91.0601,79.9544,53.2698,48.5211,65.1114,53.7369,60.7977,57.0491,47.1686,49.4059,38.6598,43.3433,89.9282,80.0312,54.9413,58.919,64.8226,55.413,53.5381,55.2357,28900,0.829,0.0008,0.0493,7.19,693000,0.0198,365,83300,304000,0.0018,4,5,5,3
182,200,58.28427125,56.02664236,15.22266722,22.83274387,10.79943185,2.114254173,1.485324995,0.881073148,0.91,0.636363636,0.728604853,3.744875983,0.218164579,0.038734788,129,1133,614.2308,247.6895,107,1021,293.1827,158.615,321.0481,1965.98,5465.58,368867.76,405184.28,132.18,59.3601,53.3071,56.4545,61.5788,115.535,78.4008,53.2902,51.7785,50.2413,52.1947,57.0804,51.8971,70.6888,51.0273,53.2413,59.5741,114.7343,76.1308,69.542,64.9241,57.6399,51.8875,61.7552,53.0673,37300,0.74,0.0021,0.0362,6.27,-242000,0.0123,417,71200,248000,0.0031,3,4,3,4
108,112,40.04163056,39.01261722,11.72646029,13.52962493,10.41906575,1.298544922,1.181380748,0.637931965,0.964285714,0.701298701,0.891709609,1.662042824,0.167211236,0.025698587,32,1055,469.9537,324.3013,35,784,194.1957,202.6305,275.7581,3028.72,2178.58,316583.26,283272.93,171.0727,68.6623,56.2058,53.6299,56.3189,99.1429,71.9751,40.5649,54.5627,42.7532,54.6447,40.039,51.2598,99,70.0352,56.0974,58.5706,92.9091,70.8333,76.6623,66.6802,86.1429,60.6787,61.5584,61.487,65400,0.709,0.0041,0.0326,5.6,9420000,0.0108,392,104000,356000,0.0051,2,2,3,3
